task_id,task_type,group_id,rep,a_hotel_id,a_name,a_stars,a_neighborhood,a_review_score,a_review_count,a_room_type,a_cancellation_free,a_breakfast_included,a_amenities,a_price,b_hotel_id,b_name,b_stars,b_neighborhood,b_review_score,b_review_count,b_room_type,b_cancellation_free,b_breakfast_included,b_amenities,b_price,c_hotel_id,c_name,c_stars,c_neighborhood,c_review_score,c_review_count,c_room_type,c_cancellation_free,c_breakfast_included,c_amenities,c_price,d_hotel_id,d_name,d_stars,d_neighborhood,d_review_score,d_review_count,d_room_type,d_cancellation_free,d_breakfast_included,d_amenities,d_price,e_hotel_id,e_name,e_stars,e_neighborhood,e_review_score,e_review_count,e_room_type,e_cancellation_free,e_breakfast_included,e_amenities,e_price
150,fiveopt,150,1,35,LUMA Hotel Times Square,4,Times Square,8.4,2512,King Room (1 king bed),1,0,Free WiFi; Restaurant; Bar; Fitness center,280,86,Holiday Inn Express Manhattan Midtown West,3,Midtown West,7.9,2144,Double Room (2 double beds),1,1,Free WiFi; Breakfast included; Fitness center,151,121,Hyatt Regency Times Square,4,Times Square,7.9,2397,King Room (1 king bed),0,0,Free WiFi; Fitness center; Restaurant; Bar,409,132,The Local NYC,2,"Long Island City, Queens",8.2,945,Bunk Room (2 bunk beds),0,0,Free WiFi; Shared kitchen,132,141,The Greenwich Hotel,5,TriBeCa,9.4,471,King Room (1 king bed),1,0,Free WiFi; Restaurant; Spa; Pool; Fitness center,753
151,fiveopt,151,1,14,Margaritaville Resort Times Square,3,Midtown West,7.6,2164,Standard King (1 king bed),1,0,Free WiFi; Pool; Bar; Restaurant,129,95,Courtyard by Marriott New York Manhattan/Midtown East,3,Midtown East,7.9,2136,King Room (1 king bed),0,0,Free WiFi; Fitness center; Restaurant,327,110,The Westin New York Grand Central,4,Midtown East,7.9,3177,Double Room (2 double beds),1,0,Free WiFi; Restaurant; Fitness center; Heavenly Bed,355,169,Henry Norman Hotel,4,"Greenpoint, Brooklyn",8.6,532,Loft Suite (1 king bed),0,0,Free WiFi; Garden,266,170,Renaissance New York Midtown Hotel,4,Midtown,8.0,2141,King Room (1 king bed),1,0,Free WiFi; Fitness center; Restaurant; Bar,277
152,fiveopt,152,1,83,Holiday Inn New York City - Times Square,3,Times Square,7.6,3665,Double Room (2 double beds),0,0,Free WiFi; Fitness center,245,88,Crowne Plaza HY36 Midtown Manhattan,4,Midtown,8.6,2025,King Room (1 king bed),1,0,Free WiFi; Fitness center; Restaurant; Bar,315,124,"The Beekman, A Thompson Hotel",5,Financial District,8.8,1349,Turret Suite (1 king bed),0,1,Free WiFi; Restaurant; Bar; Fitness center; Historic atrium,501,140,NoMo SoHo,4,SoHo,8.1,1043,Queen Room (1 queen bed),1,0,Free WiFi; Restaurant; Bar,409,164,Even Hotel Brooklyn,3,Downtown Brooklyn,8.4,748,Queen Room (1 queen bed),1,0,Free WiFi; Fitness center,183
153,fiveopt,153,1,42,Virgin Hotels New York City,4,NoMad,8.8,929,Chamber King (1 king bed),1,0,Free WiFi; Restaurant; Rooftop bar; Fitness center,337,64,The Fifth Avenue Hotel,5,NoMad,9.1,443,Grand King (1 king bed),0,0,Free WiFi; Restaurant; Butler service; Fitness center,569,98,Courtyard by Marriott New York Manhattan/Upper East Side,3,Upper East Side,8.2,1103,Double Room (2 double beds),0,0,Free WiFi; Fitness center; Restaurant,176,115,Hyatt Grand Central New York,4,Midtown East,7.7,3457,King Room (1 king bed),1,0,Free WiFi; Fitness center; Restaurant,392,173,"The Lexington Hotel, Autograph Collection",4,Midtown East,8.2,2992,King Room (1 king bed),1,0,Free WiFi; Fitness center; Restaurant; Bar,366
154,fiveopt,154,1,3,Now Now NoHo,2,NoHo,7.4,796,Double Pod (1 double bed),1,0,Free WiFi; Shared lounge,115,79,DoubleTree by Hilton New York Times Square West,4,Times Square,7.7,3251,King Room (1 king bed),0,0,Free WiFi; Restaurant; Fitness center,191,81,DoubleTree by Hilton NYC Financial District,4,Financial District,8.1,2058,King Room (1 king bed),1,1,Free WiFi; Restaurant; Fitness center,266,132,The Local NYC,2,"Long Island City, Queens",8.2,882,Queen Room (1 queen bed),0,0,Free WiFi; Shared kitchen,82,176,Conrad New York Downtown,5,Financial District,8.6,2130,King Suite (1 king bed),1,0,Free WiFi; Fitness center; Restaurant; Bar; Spa,486
155,fiveopt,155,1,13,Aloft New York Chelsea,3,Chelsea,8.6,1755,Savvy King Room (1 king bed),0,0,Free WiFi; Fitness center; Bar,194,27,citizenM New York Bowery,4,Lower East Side,8.6,3021,citizenM King Room (1 king bed),0,0,Free WiFi; Rain shower; Rooftop bar; Smart TV,288,32,Executive Hotel Le Soleil New York,4,Midtown,8.5,1711,Deluxe Queen (1 queen bed),1,0,Free WiFi; Fitness center; Restaurant,261,64,The Fifth Avenue Hotel,5,NoMad,9.0,417,King Room (1 king bed),1,0,Free WiFi; Restaurant; Butler service; Fitness center,698,136,The Bowery Hotel,4,East Village,8.9,869,King Room (1 king bed),0,0,Free WiFi; Restaurant; Bar; Fireplace lounge,502
156,fiveopt,156,1,16,Broadway Plaza Hotel,3,Upper West Side,9.0,1798,Studio (1 queen bed),0,0,Free WiFi; Kitchenette,160,53,The Ned NoMad,4,NoMad,8.6,932,Medium Room (1 king bed),0,0,Free WiFi; Restaurant; Rooftop pool; Members club,577,77,Hilton Garden Inn New York/Central Park South,3,Midtown,8.2,2012,King Room (1 king bed),1,1,Free WiFi; Restaurant; Fitness center; Business center,225,87,Holiday Inn Express Manhattan Times Square,3,Times Square,7.8,2504,Double Room (2 double beds),1,1,Free WiFi; Breakfast included; Fitness center,242,97,Courtyard by Marriott New York Downtown Manhattan,3,Financial District,8.0,1929,King Room (1 king bed),1,0,Free WiFi; Fitness center; Restaurant,268
157,fiveopt,157,1,44,CIVILIAN Hotel,4,Midtown West,8.6,1488,King Room (1 king bed),1,0,Free WiFi; Restaurant; Bar,292,61,The Whitby Hotel,5,Upper Midtown,9.4,838,Superior King with Terrace (1 king bed),0,0,Free WiFi; Restaurant; Screening room; Gym,1014,71,Hampton Inn Manhattan-35th St/Empire State Bldg,3,Midtown,8.1,2499,Double Room (2 double beds),1,1,Free WiFi; Breakfast included; Fitness center,226,72,Hampton Inn Manhattan-Seaport/Financial District,3,Financial District,8.3,1648,King Room (1 king bed),1,0,Free WiFi; Breakfast included; Fitness center,281,142,The Mercer,5,SoHo,9.2,637,Mercer King (1 king bed),0,0,Free WiFi; Restaurant; Bar,726
158,fiveopt,158,1,80,DoubleTree by Hilton New York Times Square South,4,Times Square,7.7,2734,King Room (1 king bed),1,1,Free WiFi; Restaurant; Fitness center,248,93,Kimpton Muse Hotel,4,Times Square,8.4,1160,King Room (1 king bed),0,0,Free WiFi; Restaurant; Bar; Wine hour,334,106,AC Hotel New York Times Square,4,Times Square,8.1,1861,Queen Room (1 queen bed),0,1,Free WiFi; Fitness center; Restaurant; Bar,338,111,The Westin New York at Times Square,4,Times Square,7.8,4081,Double Room (2 double beds),1,0,Free WiFi; Restaurant; Fitness center; Bar,354,126,Ramada by Wyndham New York/Eastside,2,Midtown East,6.9,1784,Queen Room (1 queen bed),0,1,Free WiFi,109
159,fiveopt,159,1,1,Pod 51,2,Midtown East,7.7,5094,Full Pod (1 twin bed),1,0,Free WiFi; Air conditioning,78,14,Margaritaville Resort Times Square,3,Midtown West,7.8,2069,Standard Double (2 double beds),0,0,Free WiFi; Pool; Bar; Restaurant,101,105,Residence Inn New York Downtown Manhattan,3,Financial District,8.2,1086,One-Bedroom Suite (1 king bed),0,0,Free WiFi; Breakfast included; Kitchen; Fitness center,170,112,Sheraton New York Times Square Hotel,4,Times Square,7.4,5365,Double Room (2 double beds),1,0,Free WiFi; Fitness center; Restaurant; Bar,259,123,Thompson Central Park New York,4,Midtown West,7.9,2175,Queen Room (1 queen bed),1,0,Free WiFi; Fitness center; Restaurant; Bar,387
160,fiveopt,160,1,79,DoubleTree by Hilton New York Times Square West,4,Times Square,7.7,3136,Double Room (2 double beds),1,0,Free WiFi; Restaurant; Fitness center,243,100,Fairfield Inn & Suites New York Manhattan/Chelsea,3,Chelsea,7.9,1547,King Room (1 king bed),1,0,Free WiFi; Breakfast included; Fitness center,262,159,Smyth Tribeca,4,TriBeCa,8.4,677,Queen Room (1 queen bed),0,0,Free WiFi; Restaurant,341,160,The Rockaway Hotel & Spa,4,"Rockaway Beach, Queens",8.3,468,Queen Room (1 queen bed),0,0,Free WiFi; Pool; Spa; Restaurant,291,164,Even Hotel Brooklyn,3,Downtown Brooklyn,8.2,686,King Room (1 king bed),1,0,Free WiFi; Fitness center,232
161,fiveopt,161,1,11,Moxy NYC Lower East Side,3,Lower East Side,8.2,1115,King Room (1 king bed),1,1,Free WiFi; Rooftop bar; Restaurant,165,41,The Pearl Hotel New York,4,Midtown,9.1,2886,Deluxe King (1 king bed),0,1,Free WiFi; Complimentary breakfast; Wine hour,340,44,CIVILIAN Hotel,4,Midtown West,8.9,1466,King Room (1 king bed),1,0,Free WiFi; Restaurant; Bar,286,82,DoubleTree by Hilton New York Midtown Fifth Ave,4,Midtown,8.0,1981,King Room (1 king bed),1,1,Free WiFi; Restaurant; Fitness center,357,139,The Standard High Line,4,Meatpacking District,8.7,1853,King Room (1 king bed),0,0,Free WiFi; Restaurant; Bar; Beer garden,536
162,fiveopt,162,1,10,Moxy NYC Downtown,3,Financial District,7.9,1680,King Room (1 king bed),0,0,Free WiFi; Fitness center; Bar; Restaurant,124,23,Hilton Garden Inn New York/West 35th Street,3,Midtown,8.4,2825,King Room (1 king bed),1,1,Free WiFi; Restaurant; Fitness center; Business center,159,41,The Pearl Hotel New York,4,Midtown,9.0,2706,Deluxe Queen (1 queen bed),1,1,Free WiFi; Complimentary breakfast; Wine hour,231,62,Four Seasons Hotel New York Downtown,5,TriBeCa,8.8,562,Deluxe King (1 king bed),1,0,Free WiFi; Spa; Pool; Restaurant; Fitness center,841,165,Hotel Le Bleu,3,"Park Slope, Brooklyn",8.0,485,Queen Room (1 queen bed),0,0,Free WiFi; Restaurant,187
163,fiveopt,163,1,78,Hilton Garden Inn New York/Times Square,3,Times Square,7.9,2508,Double Room (2 double beds),0,0,Free WiFi; Restaurant; Fitness center; Business center,308,131,Freehand New York,3,Flatiron,7.8,1758,King Room (1 king bed),0,0,Free WiFi; Restaurant; Bar; Rooftop,142,140,NoMo SoHo,4,SoHo,8.1,1182,Queen Room (1 queen bed),0,0,Free WiFi; Restaurant; Bar,296,150,The Peninsula New York,5,Midtown,9.1,953,Superior King (1 king bed),1,0,Free WiFi; Fitness center; Restaurant; Bar; Spa; Pool,1385,158,The James New York NoMad,4,NoMad,8.1,802,Queen Room (1 queen bed),1,0,Free WiFi; Restaurant; Rooftop bar; Fitness center,389
164,fiveopt,164,1,19,Romer Hell's Kitchen,3,Hell's Kitchen,8.2,672,Studio King (1 king bed),0,0,Free WiFi; Fitness center,184,27,citizenM New York Bowery,4,Lower East Side,8.6,3010,citizenM King Room (1 king bed),0,0,Free WiFi; Rain shower; Rooftop bar; Smart TV,288,60,Crosby Street Hotel,5,SoHo,9.2,1156,Luxury King (1 king bed),0,0,Free WiFi; Restaurant; Private theater; Gym; Terrace,792,136,The Bowery Hotel,4,East Village,8.8,767,Queen Room (1 queen bed),1,0,Free WiFi; Restaurant; Bar; Fireplace lounge,368,163,The Williamsburg Hotel,4,"Williamsburg, Brooklyn",8.2,832,King Room (1 king bed),1,0,Free WiFi; Pool; Restaurant; Bar,306
165,fiveopt,165,1,6,Hotel Wolcott,2,Midtown,7.7,1691,Standard Double (2 double beds),0,0,Free WiFi; Fitness center,81,12,Moxy NYC East Village,3,East Village,7.9,1201,King Room (1 king bed),0,0,Free WiFi; Rooftop bar; Restaurant,170,97,Courtyard by Marriott New York Downtown Manhattan,3,Financial District,7.8,1707,Double Room (2 double beds),0,0,Free WiFi; Fitness center; Restaurant,281,106,AC Hotel New York Times Square,4,Times Square,8.4,1816,King Room (1 king bed),1,0,Free WiFi; Fitness center; Restaurant; Bar,239,110,The Westin New York Grand Central,4,Midtown East,8.0,3463,King Room (1 king bed),1,0,Free WiFi; Restaurant; Fitness center; Heavenly Bed,287
166,fiveopt,166,1,2,Pod 39,3,Murray Hill,7.9,3186,Full Bunk Pod (1 bunk bed),0,0,Free WiFi; Rooftop bar; Restaurant,96,77,Hilton Garden Inn New York/Central Park South,3,Midtown,8.1,1921,Double Room (2 double beds),0,0,Free WiFi; Restaurant; Fitness center; Business center,312,125,Wyndham New Yorker Hotel,3,Midtown,7.2,4229,King Room (1 king bed),0,0,Free WiFi; Fitness center,200,159,Smyth Tribeca,4,TriBeCa,8.2,643,King Room (1 king bed),1,0,Free WiFi; Restaurant,251,172,New York Marriott Downtown,4,Financial District,8.1,3292,King Room (1 king bed),1,0,Free WiFi; Fitness center; Restaurant,285
167,fiveopt,167,1,28,citizenM New York Times Square,4,Times Square,8.8,3275,citizenM King Room (1 king bed),1,0,Free WiFi; Soundproof rooms; Rain shower; Smart TV,153,45,Hotel Scherman,4,Midtown,8.5,626,Premium King (1 king bed),0,1,Free WiFi; Continental breakfast; City views,398,86,Holiday Inn Express Manhattan Midtown West,3,Midtown West,8.2,2191,Double Room (2 double beds),0,1,Free WiFi; Breakfast included; Fitness center,192,129,Best Western Plus Hospitality House Suites,3,Midtown East,8.0,1389,Studio Suite (1 queen bed),0,0,Free WiFi; Kitchen; Fitness center,243,146,Mandarin Oriental New York,5,Upper West Side,8.7,1060,King Room (1 king bed),1,0,Free WiFi; Fitness center; Restaurant; Bar; Spa; Pool,1098
168,fiveopt,168,1,6,Hotel Wolcott,2,Midtown,7.7,1656,Standard Queen (1 queen bed),0,0,Free WiFi; Fitness center,130,60,Crosby Street Hotel,5,SoHo,9.4,1089,Deluxe King (1 king bed),0,0,Free WiFi; Restaurant; Private theater; Gym; Terrace,1076,64,The Fifth Avenue Hotel,5,NoMad,9.1,413,Grand King (1 king bed),1,0,Free WiFi; Restaurant; Butler service; Fitness center,666,107,AC Hotel New York Downtown,4,Financial District,8.1,1156,King Room (1 king bed),1,0,Free WiFi; Fitness center; Restaurant; Bar,273,171,New York Marriott Marquis,4,Times Square,7.8,8674,King Room (1 king bed),1,0,Free WiFi; Restaurant; Bar; Fitness center; Theater,494
169,fiveopt,169,1,77,Hilton Garden Inn New York/Central Park South,3,Midtown,8.2,2039,Double Room (2 double beds),1,0,Free WiFi; Restaurant; Fitness center; Business center,339,98,Courtyard by Marriott New York Manhattan/Upper East Side,3,Upper East Side,8.1,1188,King Room (1 king bed),1,0,Free WiFi; Fitness center; Restaurant,274,99,Fairfield Inn & Suites New York Manhattan/Times Square,3,Times Square,7.9,2312,Double Room (2 double beds),0,0,Free WiFi; Breakfast included; Fitness center,154,134,Pod Brooklyn,3,"Williamsburg, Brooklyn",8.1,769,Queen Pod (1 queen bed),0,0,Free WiFi; Rooftop bar,150,161,Wythe Hotel,4,"Williamsburg, Brooklyn",8.5,1093,King Room (1 king bed),0,0,Free WiFi; Restaurant; Rooftop bar,354
170,fiveopt,170,1,75,Hilton Garden Inn New York/Midtown Park Avenue,3,Midtown East,8.0,2185,King Room (1 king bed),1,0,Free WiFi; Restaurant; Fitness center; Business center,184,88,Crowne Plaza HY36 Midtown Manhattan,4,Midtown,8.6,2364,King Room (1 king bed),1,0,Free WiFi; Fitness center; Restaurant; Bar,299,94,EVEN Hotel New York - Times Square South,3,Midtown,8.3,1506,King Room (1 king bed),0,0,Free WiFi; Fitness center; In-room training zone,189,110,The Westin New York Grand Central,4,Midtown East,7.9,3125,Double Room (2 double beds),1,0,Free WiFi; Restaurant; Fitness center; Heavenly Bed,338,134,Pod Brooklyn,3,"Williamsburg, Brooklyn",8.0,782,King Pod (1 king bed),0,0,Free WiFi; Rooftop bar,145
171,fiveopt,171,1,30,Courtyard by Marriott Manhattan/Central Park,4,Midtown,8.2,2838,King Room (1 king bed),0,0,Free WiFi; Fitness center; Restaurant,242,56,The Knickerbocker,5,Times Square,8.9,1701,Deluxe King (1 king bed),0,0,Free WiFi; Restaurant; Rooftop bar; Fitness center,456,86,Holiday Inn Express Manhattan Midtown West,3,Midtown West,7.9,2357,King Room (1 king bed),1,1,Free WiFi; Breakfast included; Fitness center,146,91,InterContinental New York Barclay,5,Midtown East,8.8,1678,Premium King (1 king bed),0,1,Free WiFi; Fitness center; Restaurant; Bar; Spa,356,148,"The Carlyle, A Rosewood Hotel",5,Upper East Side,9.3,629,Deluxe King (1 king bed),1,0,Free WiFi; Spa; Restaurant; Live jazz; Fitness center,1345
172,fiveopt,172,1,71,Hampton Inn Manhattan-35th St/Empire State Bldg,3,Midtown,8.3,2283,Double Room (2 double beds),1,0,Free WiFi; Breakfast included; Fitness center,248,76,Hilton Garden Inn New York/Manhattan-Chelsea,3,Chelsea,7.8,1892,Double Room (2 double beds),0,1,Free WiFi; Restaurant; Fitness center; Business center,260,87,Holiday Inn Express Manhattan Times Square,3,Times Square,7.8,2729,King Room (1 king bed),1,1,Free WiFi; Breakfast included; Fitness center,202,161,Wythe Hotel,4,"Williamsburg, Brooklyn",8.6,1065,Queen Room (1 queen bed),0,0,Free WiFi; Restaurant; Rooftop bar,399,178,Loews Regency Hotel New York,5,Upper East Side,8.8,1113,Park Avenue King (1 king bed),1,0,Free WiFi; Fitness center; Restaurant; Bar; Spa,596
173,fiveopt,173,1,64,The Fifth Avenue Hotel,5,NoMad,9.0,452,Grand King (1 king bed),1,0,Free WiFi; Restaurant; Butler service; Fitness center,943,66,The Plaza,5,Midtown,8.4,3937,Superior King (1 king bed),0,0,Free WiFi; Spa; Restaurant; Fitness center; Palm Court,992,75,Hilton Garden Inn New York/Midtown Park Avenue,3,Midtown East,8.1,2276,Double Room (2 double beds),0,0,Free WiFi; Restaurant; Fitness center; Business center,177,98,Courtyard by Marriott New York Manhattan/Upper East Side,3,Upper East Side,7.9,1299,King Room (1 king bed),1,0,Free WiFi; Fitness center; Restaurant,344,137,The Marlton Hotel,4,Greenwich Village,8.7,948,Queen Room (1 queen bed),1,1,Free WiFi; Restaurant; Bar,327
174,fiveopt,174,1,36,Bryant Park Hotel,4,Midtown,8.5,1731,Deluxe King (1 king bed),0,0,Free WiFi; Fitness center,421,43,Arlo NoMad,4,NoMad,8.2,2358,King Room (1 king bed),0,1,Free WiFi; Rooftop bar; Restaurant,226,169,Henry Norman Hotel,4,"Greenpoint, Brooklyn",8.4,470,Loft Suite (1 king bed),0,1,Free WiFi; Garden,251,171,New York Marriott Marquis,4,Times Square,8.0,8415,King Room (1 king bed),0,0,Free WiFi; Restaurant; Bar; Fitness center; Theater,374,177,Tempo by Hilton New York Times Square,3,Times Square,8.4,590,Double Room (2 double beds),1,0,Free WiFi; Fitness center; Kitchen,179
175,fiveopt,175,1,84,Holiday Inn NYC - Lower East Side,3,Lower East Side,7.7,1592,Double Room (2 double beds),1,0,Free WiFi; Fitness center,124,89,Crowne Plaza Times Square Manhattan,4,Times Square,7.6,4217,King Room (1 king bed),0,0,Free WiFi; Fitness center; Restaurant; Bar,213,98,Courtyard by Marriott New York Manhattan/Upper East Side,3,Upper East Side,8.1,1126,King Room (1 king bed),1,1,Free WiFi; Fitness center; Restaurant,289,118,Hyatt Centric Wall Street New York,4,Financial District,8.6,1232,Queen Room (1 queen bed),1,0,Free WiFi; Fitness center; Restaurant; Bar,284,172,New York Marriott Downtown,4,Financial District,8.0,3445,King Room (1 king bed),0,0,Free WiFi; Fitness center; Restaurant,221
176,fiveopt,176,1,7,voco Times Square South,3,Hell's Kitchen,7.9,1524,Standard King (1 king bed),1,0,Free WiFi; Restaurant; Fitness center,99,12,Moxy NYC East Village,3,East Village,8.0,1096,King Room (1 king bed),1,0,Free WiFi; Rooftop bar; Restaurant,178,40,Hard Rock Hotel New York,4,Midtown,8.3,1615,Double Room (2 double beds),1,0,Free WiFi; Restaurant; Fitness center; Bar,397,50,Ace Hotel Brooklyn,4,"Boerum Hill, Brooklyn",8.2,1098,Deluxe King (1 king bed),1,0,Free WiFi; Restaurant; Lobby bar,198,66,The Plaza,5,Midtown,8.7,3761,Superior King (1 king bed),0,0,Free WiFi; Spa; Restaurant; Fitness center; Palm Court,1484
177,fiveopt,177,1,58,The New York EDITION,5,Midtown,8.0,1371,Superior King (1 king bed),1,0,Free WiFi; Spa; Restaurant; Fitness center,625,129,Best Western Plus Hospitality House Suites,3,Midtown East,7.7,1523,Studio Suite (1 queen bed),0,1,Free WiFi; Kitchen; Fitness center,231,134,Pod Brooklyn,3,"Williamsburg, Brooklyn",8.0,801,King Pod (1 king bed),1,0,Free WiFi; Rooftop bar,154,143,1 Hotel Brooklyn Bridge,4,Brooklyn Heights,8.5,1964,King Room (1 king bed),1,0,Free WiFi; Rooftop pool; Restaurant; Spa,438,171,New York Marriott Marquis,4,Times Square,7.7,8373,King Room (1 king bed),0,0,Free WiFi; Restaurant; Bar; Fitness center; Theater,482
178,fiveopt,178,1,73,Hampton Inn Manhattan/Downtown-Financial District,3,Financial District,8.0,1722,King Room (1 king bed),1,0,Free WiFi; Breakfast included; Fitness center,192,93,Kimpton Muse Hotel,4,Times Square,8.2,1136,Queen Room (1 queen bed),1,0,Free WiFi; Restaurant; Bar; Wine hour,345,119,Hyatt Place New York Midtown South,3,Midtown,8.2,1493,King Room (1 king bed),1,0,Free WiFi; Breakfast; Fitness center,223,138,The Standard East Village,4,East Village,8.4,1121,King Room (1 king bed),0,0,Free WiFi; Restaurant; Bar,255,160,The Rockaway Hotel & Spa,4,"Rockaway Beach, Queens",8.5,482,King Room (1 king bed),1,0,Free WiFi; Pool; Spa; Restaurant,298
179,fiveopt,179,1,49,The Hotel Chelsea,4,Chelsea,8.6,1301,Queen Room (1 queen bed),1,1,Free WiFi; Restaurant; Concierge; Fitness center,422,52,Andaz 5th Avenue,4,Midtown East,8.9,1739,Andaz King (1 king bed),0,0,Free WiFi; Wine hour; Restaurant; Fitness center,324,91,InterContinental New York Barclay,5,Midtown East,8.7,1666,Premium King (1 king bed),1,0,Free WiFi; Fitness center; Restaurant; Bar; Spa,422,106,AC Hotel New York Times Square,4,Times Square,8.4,1961,King Room (1 king bed),1,0,Free WiFi; Fitness center; Restaurant; Bar,311,154,Walker Hotel Greenwich Village,4,Greenwich Village,8.4,649,King Room (1 king bed),1,0,Free WiFi; Restaurant,290
180,fiveopt,180,1,12,Moxy NYC East Village,3,East Village,8.1,1036,King Room (1 king bed),1,0,Free WiFi; Rooftop bar; Restaurant,122,50,Ace Hotel Brooklyn,4,"Boerum Hill, Brooklyn",8.3,1030,Deluxe King (1 king bed),0,0,Free WiFi; Restaurant; Lobby bar,241,55,Ink 48 Hotel,5,Hell's Kitchen,7.9,2544,King Room (1 king bed),1,0,Free WiFi; Rooftop bar; Fitness center; City views,491,116,Hyatt Centric Midtown 5th Avenue New York,4,Midtown,8.4,1766,Queen Room (1 queen bed),1,0,Free WiFi; Fitness center; Restaurant; Bar,289,164,Even Hotel Brooklyn,3,Downtown Brooklyn,8.1,641,King Room (1 king bed),0,0,Free WiFi; Fitness center,216
181,fiveopt,181,1,7,voco Times Square South,3,Hell's Kitchen,8.0,1360,Standard King (1 king bed),1,0,Free WiFi; Restaurant; Fitness center,160,75,Hilton Garden Inn New York/Midtown Park Avenue,3,Midtown East,7.9,2065,Double Room (2 double beds),1,0,Free WiFi; Restaurant; Fitness center; Business center,175,90,InterContinental New York Times Square,5,Times Square,8.3,3046,King Room (1 king bed),0,0,Free WiFi; Fitness center; Restaurant; Bar; Spa,316,155,Walker Hotel Tribeca,4,TriBeCa,8.3,495,King Room (1 king bed),1,0,Free WiFi; Restaurant,303,164,Even Hotel Brooklyn,3,Downtown Brooklyn,8.4,647,King Room (1 king bed),1,0,Free WiFi; Fitness center,156
182,fiveopt,182,1,65,The William Vale,5,"Williamsburg, Brooklyn",8.7,2406,Vale King with Balcony (1 king bed),1,0,Free WiFi; Rooftop pool; Restaurant; Fitness center,392,123,Thompson Central Park New York,4,Midtown West,8.1,2200,King Room (1 king bed),1,0,Free WiFi; Fitness center; Restaurant; Bar,397,127,Days Inn by Wyndham NYC Midtown 45,2,Midtown,6.5,2257,Queen Room (1 queen bed),1,0,Free WiFi,150,146,Mandarin Oriental New York,5,Upper West Side,9.0,1054,King Room (1 king bed),1,0,Free WiFi; Fitness center; Restaurant; Bar; Spa; Pool,1073,154,Walker Hotel Greenwich Village,4,Greenwich Village,8.3,640,King Room (1 king bed),1,0,Free WiFi; Restaurant,413
183,fiveopt,183,1,1,Pod 51,2,Midtown East,7.7,5143,Queen Pod (1 queen bed),1,0,Free WiFi; Air conditioning,85,136,The Bowery Hotel,4,East Village,8.7,919,Queen Room (1 queen bed),0,0,Free WiFi; Restaurant; Bar; Fireplace lounge,549,138,The Standard East Village,4,East Village,8.3,1092,King Room (1 king bed),0,0,Free WiFi; Restaurant; Bar,271,162,McCarren Hotel & Pool,4,"Williamsburg, Brooklyn",8.2,749,Queen Room (1 queen bed),0,0,Free WiFi; Pool; Restaurant,262,168,The Boro Hotel,4,"Long Island City, Queens",8.7,722,King Room (1 king bed),1,0,Free WiFi; Bar; Manhattan views,182
184,fiveopt,184,1,68,Hampton Inn Manhattan-Chelsea,3,Chelsea,8.4,2747,Double Room (2 double beds),0,1,Free WiFi; Breakfast included; Fitness center,162,117,Hyatt Centric Times Square New York,4,Times Square,8.2,2033,King Room (1 king bed),0,0,Free WiFi; Fitness center; Restaurant; Bar,370,121,Hyatt Regency Times Square,4,Times Square,7.9,2641,Double Room (2 double beds),1,0,Free WiFi; Fitness center; Restaurant; Bar,373,152,Arlo Midtown,3,Times Square,8.0,1725,King Room (1 king bed),1,0,Free WiFi; Rooftop bar; Restaurant,177,173,"The Lexington Hotel, Autograph Collection",4,Midtown East,8.2,3021,King Room (1 king bed),1,0,Free WiFi; Fitness center; Restaurant; Bar,281
185,fiveopt,185,1,1,Pod 51,2,Midtown East,8.0,5113,Full Pod (1 twin bed),0,0,Free WiFi; Air conditioning,82,6,Hotel Wolcott,2,Midtown,7.5,1723,Standard Double (2 double beds),0,0,Free WiFi; Fitness center,131,18,The Lucerne Hotel,3,Upper West Side,8.1,2544,Classic Queen (1 queen bed),0,0,Free WiFi; Restaurant; Fitness center,148,52,Andaz 5th Avenue,4,Midtown East,8.6,1553,Andaz King (1 king bed),0,0,Free WiFi; Wine hour; Restaurant; Fitness center,524,125,Wyndham New Yorker Hotel,3,Midtown,7.6,3867,Double Room (2 double beds),0,0,Free WiFi; Fitness center,208
186,fiveopt,186,1,46,New York Hilton Midtown,4,Midtown,7.8,12037,Executive King (1 king bed),1,1,Free WiFi; Restaurant; Fitness center; Business center,262,60,Crosby Street Hotel,5,SoHo,9.3,1102,Luxury King (1 king bed),1,1,Free WiFi; Restaurant; Private theater; Gym; Terrace,829,103,Residence Inn New York Manhattan/Times Square,3,Times Square,8.4,1804,Studio Suite (1 king bed),1,1,Free WiFi; Breakfast included; Kitchen; Fitness center,195,143,1 Hotel Brooklyn Bridge,4,Brooklyn Heights,8.7,1680,King Room (1 king bed),1,0,Free WiFi; Rooftop pool; Restaurant; Spa,418,155,Walker Hotel Tribeca,4,TriBeCa,8.0,467,King Room (1 king bed),1,1,Free WiFi; Restaurant,391
